pa_name,Pin_dBm,Pout_dBm,PDCIN_dBm,PAE_percent,Pin_W,Pout_W,PDCIN_W
QPA9942,-14.295816903823074,14.998919938282189,28.069745880178175,4.924999999999999,3.718932618108371e-05,0.031614913203646795,0.6411720584256999
QPA9942,-13.393477841590943,15.985469526830105,28.315088316810233,5.841666666666665,4.577751523516966e-05,0.03967774232311118,0.678435916825267
QPA9942,-12.562714297959879,16.942548859934853,28.698591758899063,6.666666666666668,5.542791856208896e-05,0.04946008814411237,0.741069903383254
QPA9942,-11.736563517915311,17.958173324189953,28.949840344393063,7.95,6.704148849728814e-05,0.06249097956513084,0.7852067682595415
QPA9942,-10.916739885136295,18.988523272758442,29.417596488344717,9.05,8.097034905621021e-05,0.07922319028442457,0.8744996677941254
QPA9942,-10.02905880336019,19.960414880850337,29.775298577006957,10.425,9.9333129839976e-05,0.09909266034372953,0.9495762802291563
QPA9942,-9.471123349905714,20.960455597462712,30.13765030521377,12.075,0.00011295037184647568,0.12475143781147863,1.0322027945311152
QPA9942,-8.545650822904168,21.99119128235899,30.64133109567265,13.633333333333336,0.00013977674336773842,0.15816818396870252,1.1591325713349738
QPA9942,-7.651642593862505,22.948357406137497,31.050605952787393,15.466666666666672,0.00017172587606205858,0.19716768650537755,1.2736807799309187
QPA9942,-6.719842919595408,23.96436760672038,31.580195080942154,17.300000000000004,0.00021282160202482946,0.24913615678813691,1.4388632091682776
QPA9942,-5.781571446939825,24.965796974112806,32.08225666168906,19.40833333333333,0.00026414528036619475,0.3137470834829136,1.6151976206228293
QPA9942,-4.9130164580833195,25.981720384021944,32.65043466752671,21.51666666666667,0.0003226252500801727,0.396435044182243,1.8409562460054039
QPA9942,-3.862768943939649,26.96881000342877,33.24838792548907,23.53333333333333,0.00041088766673117046,0.49760072029812163,2.112704671238203
QPA9942,-2.789387965026574,28.000085719183954,33.860671708772585,25.91666666666667,0.0005260914012607322,0.6309697981688055,2.4325802190387575
QPA9942,-1.6418223898508515,28.95817761014915,34.45061914541585,28.20833333333333,0.0006852006416974519,0.7867155982169179,2.7865183961307673
QPA9942,-0.3213558631921778,30.0049599262815,35.18411498297064,30.31666666666666,0.0009286764096358128,1.0011427176366494,3.299221686290315
QPA9942,1.1092276701525847,30.993438196468375,35.90480077609442,32.241666666666674,0.001290989669379911,1.257024723663015,3.8947544088714436
QPA9942,2.6923324189953703,31.923911366363793,36.57106242360493,34.258333333333326,0.0018588024742645427,1.55736760498779,4.54052678914189
QPA9942,3.9155826761529227,32.515582676152924,37.04724254092783,35.175000000000004,0.002463532338694178,1.784671414957702,5.06668907638666
Bae et al.,-3.849378640194665,27.96757798808272,39.1152789741561,7.672625306694691,0.00041215648350133126,0.6262645065301357,8.156951825870495
Bae et al.,-2.2762918753633627,29.996435397363918,39.39476588250472,11.47914475990183,0.0005920669413112584,0.9991795566586101,8.699145368438048
Bae et al.,-0.6903799102180272,31.97073256221521,40.00474032467537,15.716789344549577,0.000853025490164782,1.5742483842170067,10.010920959963617
Bae et al.,0.9888899367204118,33.9060670991806,40.74099090350471,20.715036803364853,0.0012557089615580946,2.4581405434540207,11.860393287321498
Bae et al.,2.925712780959472,35.7742793087713,41.40576723433823,27.32912723449,0.001961423065426555,3.779444140030127,13.82218570155226
Bae et al.,4.728230118921125,37.50206006256241,42.37824050622304,32.520154223624246,0.0029704552348834906,5.626081333490122,17.29115686102845
Bae et al.,6.359086541694701,38.985893696803764,43.09859490271632,38.76971608832805,0.004324228692979288,7.917523656878424,20.410774765946194
Bae et al.,8.31044383996587,40.398167437123455,43.76882954983665,45.99018576936557,0.00677710764708201,10.96015620300885,23.816775062165334
Bae et al.,10.170534668064555,41.381022293646545,44.32156725619035,50.771118121275855,0.010400482002280154,13.743654513119104,27.04934328669402
Bae et al.,12.213401456125077,42.21707702583841,45.242564028113456,49.77567472835611,0.01664715969128623,16.66125466564156,33.439240345381414
Bae et al.,14.136669439984693,43.3317196727708,46.51928092453049,47.94251664914124,0.025921906751168136,21.5363433896798,44.86710958531613
Bae et al.,16.102891688660364,44.82624380823893,48.04763208078901,47.56396775324219,0.04076516165498109,30.382561161000353,63.79155783797522
Bae et al.,17.00476643105055,45.623977408752125,48.74900564599055,48.62951279355064,0.050173759424204836,36.50881533541239,74.97225343541467
Bae et al.,18.08272582723506,46.33560502351051,49.36689344234493,49.68454258675078,0.0643091223611301,43.00911462339249,86.4349418655679
Bae et al.,19.05921162873128,46.94208347386731,49.87314625129842,50.83771468629513,0.08052322547694414,49.45478832944077,97.12133090292937
Bae et al.,20.065671252475575,47.444990046888734,50.35188897260352,51.11111111111112,0.10152362709834059,55.52633445719226,108.43984727627071
Bae et al.,21.03868898925738,47.84706928820375,50.804984345439834,50.5012267788293,0.12701906131364887,60.91257074962694,120.36450511296351
